# The list of all links between articles.
# Article names are URL-encoded; e.g., in Java they can be decoded using java.net.URLDecoder.decode(articleName, "UTF-8").
# FORMAT:   linkSource   linkTarget
#
# When publishing on this data set, please cite:
# (1) Robert West and Jure Leskovec:
#     Human Wayfinding in Information Networks.
#     21st International World Wide Web Conference (WWW), 2012.
# (2) Robert West, Joelle Pineau, and Doina Precup:
#     Wikispeedia: An Online Game for Inferring Semantic Distances between Concepts.
#     21st International Joint Conference on Artificial Intelligence (IJCAI), 2009.

%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Bede
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Columba
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	D%C3%A1l_Riata
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Great_Britain
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Ireland
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Isle_of_Man
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Monarchy
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Orkney
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Picts
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Scotland
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Wales
%C3%85land	20th_century
%C3%85land	Baltic_Sea
%C3%85land	Crimean_War
%C3%85land	Currency
%C3%85land	Euro
%C3%85land	European_Union
%C3%85land	Finland
%C3%85land	League_of_Nations
%C3%85land	List_of_countries_by_system_of_government
%C3%85land	Nationality
%C3%85land	Parliamentary_system
%C3%85land	Police
%C3%85land	Russia
%C3%85land	Stockholm
%C3%85land	Sweden
%C3%85land	Time_zone
%C3%85land	Tourism
%C3%85land	United_Kingdom
%C3%85land	World_War_II
%C3%89douard_Manet	Absinthe
%C3%89douard_Manet	Beer
%C3%89douard_Manet	Claude_Monet
%C3%89douard_Manet	Diego_Vel%C3%A1zquez
%C3%89douard_Manet	Edgar_Allan_Poe
%C3%89douard_Manet	France
%C3%89douard_Manet	Francisco_Goya
%C3%89douard_Manet	Germany
%C3%89douard_Manet	Impressionism
%C3%89douard_Manet	Italy
%C3%89douard_Manet	Landscape
%C3%89douard_Manet	Netherlands
%C3%89douard_Manet	Painting
%C3%89douard_Manet	Paris
%C3%89douard_Manet	Photography
%C3%89douard_Manet	Raphael
%C3%89douard_Manet	Renaissance
%C3%89douard_Manet	Sweden
%C3%89douard_Manet	United_States_dollar
%C3%89douard_Manet	Washington%2C_D.C.
%C3%89ire	Canada
%C3%89ire	English_language
%C3%89ire	George_VI_of_the_United_Kingdom
%C3%89ire	Ireland
%C3%89ire	Northern_Ireland
%C3%89ire	Ottawa
%C3%89ire	Republic_of_Ireland
%C3%89ire	United_Kingdom
%C3%93engus_I_of_the_Picts	D%C3%A1l_Riata
%C3%93engus_I_of_the_Picts	Durham
%C3%93engus_I_of_the_Picts	England
%C3%93engus_I_of_the_Picts	Great_Britain
%C3%93engus_I_of_the_Picts	Ireland
%C3%93engus_I_of_the_Picts	Lion
%C3%93engus_I_of_the_Picts	Mercia
%C3%93engus_I_of_the_Picts	Scotland
%C3%93engus_I_of_the_Picts	Viking
%C3%93engus_I_of_the_Picts	York
%E2%82%AC2_commemorative_coins	Athens
%E2%82%AC2_commemorative_coins	Atlantic_Ocean
%E2%82%AC2_commemorative_coins	Austria
%E2%82%AC2_commemorative_coins	Belgium
%E2%82%AC2_commemorative_coins	Berlin
%E2%82%AC2_commemorative_coins	Brussels
%E2%82%AC2_commemorative_coins	Cathedral_of_Magdeburg
%E2%82%AC2_commemorative_coins	Cereal
%E2%82%AC2_commemorative_coins	Christopher_Columbus
%E2%82%AC2_commemorative_coins	Cologne
%E2%82%AC2_commemorative_coins	Comet
%E2%82%AC2_commemorative_coins	Dresden
%E2%82%AC2_commemorative_coins	European_Union
%E2%82%AC2_commemorative_coins	Finland
%E2%82%AC2_commemorative_coins	France
%E2%82%AC2_commemorative_coins	Galileo_Galilei
%E2%82%AC2_commemorative_coins	Germany
%E2%82%AC2_commemorative_coins	Greece
%E2%82%AC2_commemorative_coins	Hamburg
%E2%82%AC2_commemorative_coins	Harold_Macmillan
%E2%82%AC2_commemorative_coins	Heraldry
%E2%82%AC2_commemorative_coins	History
%E2%82%AC2_commemorative_coins	Ireland
%E2%82%AC2_commemorative_coins	Italy
%E2%82%AC2_commemorative_coins	Luxembourg
%E2%82%AC2_commemorative_coins	Maize
%E2%82%AC2_commemorative_coins	Miguel_de_Cervantes
%E2%82%AC2_commemorative_coins	Monaco
%E2%82%AC2_commemorative_coins	Munich
%E2%82%AC2_commemorative_coins	Netherlands
%E2%82%AC2_commemorative_coins	Numismatics
%E2%82%AC2_commemorative_coins	Nutrition
%E2%82%AC2_commemorative_coins	Pope_John_Paul_II
%E2%82%AC2_commemorative_coins	Portugal
%E2%82%AC2_commemorative_coins	Rice
%E2%82%AC2_commemorative_coins	San_Marino
%E2%82%AC2_commemorative_coins	Sanssouci
%E2%82%AC2_commemorative_coins	Soviet_Union
%E2%82%AC2_commemorative_coins	Spain
%E2%82%AC2_commemorative_coins	Suffrage
%E2%82%AC2_commemorative_coins	Turin
%E2%82%AC2_commemorative_coins	United_Kingdom
%E2%82%AC2_commemorative_coins	United_Nations
%E2%82%AC2_commemorative_coins	United_States
%E2%82%AC2_commemorative_coins	Vatican_City
%E2%82%AC2_commemorative_coins	Wheat
%E2%82%AC2_commemorative_coins	Zeus
10th_century	11th_century
10th_century	9th_century
10th_century	Algeria
10th_century	Beer
10th_century	Black_Sea
10th_century	Byzantine_Empire
10th_century	Dark_Ages
10th_century	Dublin
10th_century	France
10th_century	Germany
10th_century	Great_Moravia
10th_century	India
10th_century	Italy
10th_century	Khazars
10th_century	Lion
10th_century	Maya_civilization
10th_century	Mexico
10th_century	Monarchy
10th_century	Myanmar
10th_century	Philippines
10th_century	Poland
10th_century	Scotland
10th_century	Solar_System
10th_century	Sweden
10th_century	Time
10th_century	Viking
11th_century	10th_century
11th_century	12th_century
11th_century	13th_century
11th_century	14th_century
11th_century	15th_century
11th_century	16th_century
11th_century	17th_century
11th_century	18th_century
11th_century	19th_century
11th_century	1st_century
11th_century	1st_century_BC
11th_century	20th_century
11th_century	21st_century
11th_century	2nd_century
11th_century	3rd_century
11th_century	4th_century
11th_century	5th_century
11th_century	6th_century
11th_century	7th_century
11th_century	8th_century
11th_century	9th_century
11th_century	Battle_of_Hastings
11th_century	Byzantine_Empire
11th_century	Canute_the_Great
11th_century	China
11th_century	Crusades
11th_century	Dark_Ages
11th_century	Domesday_Book
11th_century	East-West_Schism
11th_century	Edward_the_Confessor
11th_century	England
11th_century	First_Crusade
11th_century	France
11th_century	Ghana
11th_century	India
11th_century	Jerusalem
11th_century	Leif_Ericson
11th_century	Macbeth_of_Scotland
11th_century	Mauritania
11th_century	Myanmar
11th_century	Nigeria
11th_century	Norman_conquest_of_England
11th_century	North_America
11th_century	Novel
11th_century	Portugal
11th_century	Time
11th_century	Viking
11th_century	William_I_of_England
12th_century	10th_century
12th_century	11th_century
12th_century	13th_century
12th_century	14th_century
12th_century	15th_century
12th_century	16th_century
12th_century	17th_century
12th_century	18th_century
12th_century	19th_century
12th_century	1st_century
12th_century	1st_century_BC
12th_century	20th_century
12th_century	21st_century
12th_century	2nd_century
12th_century	3rd_century
12th_century	4th_century
12th_century	5th_century
12th_century	6th_century
12th_century	7th_century
12th_century	8th_century
12th_century	9th_century
12th_century	Angkor_Wat
12th_century	Croatia
12th_century	England
12th_century	France
12th_century	Francis_of_Assisi
12th_century	Frederick_II%2C_Holy_Roman_Emperor
12th_century	Genghis_Khan
12th_century	Henry_II_of_England
12th_century	Hungary
12th_century	Iceland
12th_century	India
12th_century	Iran
12th_century	Ireland
12th_century	Mongol_Empire
12th_century	Paris
12th_century	Portugal
12th_century	Richard_I_of_England
12th_century	Saladin
12th_century	Second_Crusade
12th_century	Serbia
12th_century	Sweden
12th_century	The_Anarchy
12th_century	Thomas_Becket
12th_century	Time
13th_century	12th_century
13th_century	14th_century
13th_century	Angola
13th_century	Arabic_language
13th_century	Asia
13th_century	Bantu
13th_century	Buddhism
13th_century	Byzantine_Empire
13th_century	Cambodia
13th_century	China
13th_century	Dante_Alighieri
13th_century	Europe
13th_century	Francis_of_Assisi
13th_century	Frederick_II%2C_Holy_Roman_Emperor
13th_century	Genghis_Khan
13th_century	Holy_Roman_Empire
13th_century	Hungary
13th_century	Iceland
13th_century	Iran
13th_century	Islam
13th_century	Isle_of_Man
13th_century	John_of_England
13th_century	Laos
13th_century	Magna_Carta
13th_century	Malaysia
13th_century	Marco_Polo
13th_century	Mongol_Empire
13th_century	Myanmar
13th_century	Norway
13th_century	Scotland
13th_century	Stockholm
13th_century	Thailand
13th_century	Thomas_Aquinas
13th_century	Time
14th_century	13th_century
14th_century	15th_century
14th_century	Abacus
14th_century	Aztec
14th_century	Black_Death
14th_century	Buddha
14th_century	China
14th_century	Christianity
14th_century	Dante_Alighieri
14th_century	Dark_Ages
14th_century	Edward_III_of_England
14th_century	England
14th_century	English_peasants%27_revolt_of_1381
14th_century	Europe
14th_century	France
14th_century	Hundred_Years%27_War
14th_century	Ibn_Battuta
14th_century	India
14th_century	Islam
14th_century	Italy
14th_century	Lithuania
14th_century	Ming_Dynasty
14th_century	Niger
14th_century	Ottoman_Empire
14th_century	Poland
14th_century	Pope
14th_century	Renaissance
14th_century	Singapore
14th_century	Time
14th_century	Timur
14th_century	Washington%2C_D.C.
15th_Marine_Expeditionary_Unit	2004_Indian_Ocean_earthquake
15th_Marine_Expeditionary_Unit	Afghanistan
15th_Marine_Expeditionary_Unit	Australia
15th_Marine_Expeditionary_Unit	California
15th_Marine_Expeditionary_Unit	East_Timor
15th_Marine_Expeditionary_Unit	Famine
15th_Marine_Expeditionary_Unit	Indian_Ocean
15th_Marine_Expeditionary_Unit	Indonesia
15th_Marine_Expeditionary_Unit	Iraq
15th_Marine_Expeditionary_Unit	Kuwait
15th_Marine_Expeditionary_Unit	Kuwait_City
15th_Marine_Expeditionary_Unit	Mogadishu
15th_Marine_Expeditionary_Unit	Mount_Pinatubo
15th_Marine_Expeditionary_Unit	Pakistan
15th_Marine_Expeditionary_Unit	Persian_Gulf
15th_Marine_Expeditionary_Unit	Royal_Marines
15th_Marine_Expeditionary_Unit	Rwanda
15th_Marine_Expeditionary_Unit	Somalia
15th_Marine_Expeditionary_Unit	Sri_Lanka
15th_Marine_Expeditionary_Unit	Sumatra
15th_Marine_Expeditionary_Unit	Uganda
15th_Marine_Expeditionary_Unit	United_Kingdom
15th_Marine_Expeditionary_Unit	United_States
15th_Marine_Expeditionary_Unit	World_War_II
15th_century	10th_century
15th_century	11th_century
15th_century	12th_century
15th_century	13th_century
15th_century	14th_century
15th_century	16th_century
15th_century	17th_century
15th_century	18th_century
15th_century	19th_century
15th_century	1st_century
15th_century	1st_century_BC
15th_century	20th_century
